Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code,User,Time_of_Day,Date
12/13/2020 at 1:33:27 am EST,Crewmate,Loss,6,No,Yes,07m 10s,No,1.0,-,---,NA / QQULHF,3,Night,12/13/2020
12/13/2020 at 1:21:08 am EST,Crewmate,Win,7,No,No,19m 17s,No,0.0,-,++,NA / QQULHF,3,Night,12/13/2020
12/13/2020 at 12:54:11 am EST,Crewmate,Win,8,Yes,No,11m 21s,No,1.0,11m 20s,++,NA / QQULHF,3,Night,12/13/2020
12/13/2020 at 12:37:01 am EST,Crewmate,Loss,4,No,No,02m 28s,No,1.0,-,,NA / QQULHF,3,Night,12/13/2020
12/13/2020 at 12:09:13 am EST,Crewmate,Loss,8,Yes,Yes,16m 28s,No,0.0,10m 52s,--,NA / QQULHF,3,Night,12/13/2020
12/12/2020 at 11:40:30 pm EST,Crewmate,Loss,8,Yes,Yes,12m 29s,No,1.0,11m 28s,--,NA / WFUYNF,3,Evening,12/12/2020
12/12/2020 at 11:19:19 pm EST,Crewmate,Loss,3,No,No,12m 07s,Yes,0.0,-,---,NA / WFUYNF,3,Evening,12/12/2020
12/12/2020 at 11:00:42 pm EST,Crewmate,Win,4,No,No,17m 31s,Yes,0.0,-,++,NA / WFUYNF,3,Evening,12/12/2020
12/12/2020 at 5:52:26 pm EST,Crewmate,Win,4,No,No,09m 40s,No,1.0,-,++,NA / WFUYNF,3,Afternoon,12/12/2020
12/12/2020 at 5:35:35 pm EST,Crewmate,Loss,3,No,Yes,13m 33s,No,3.0,-,---,NA / WFUYNF,3,Afternoon,12/12/2020
12/12/2020 at 4:52:31 pm EST,Crewmate,Win,6,No,Yes,18m 00s,No,0.0,-,++,NA / WFUYNF,3,Afternoon,12/12/2020
12/12/2020 at 4:29:15 pm EST,Crewmate,Win,8,Yes,Yes,11m 53s,No,0.0,11m 46s,++,NA / WFUYNF,3,Afternoon,12/12/2020
12/12/2020 at 4:08:33 pm EST,Crewmate,Win,8,Yes,Yes,15m 44s,No,0.0,15m 41s,++,NA / WFUYNF,3,Afternoon,12/12/2020
12/12/2020 at 3:33:39 pm EST,Crewmate,Win,4,No,No,12m 04s,No,0.0,-,++,NA / WFUYNF,3,Afternoon,12/12/2020
