User,Team,Outcome,Game Length,Imposter Kills,Ejected,Night,Morning,Afternoon,Evening
19,0,1,449,2,0,0,0,0,1
19,0,1,449,2,0,0,0,0,1
20,0,0,249,2,0,0,1,0,0
20,0,1,318,2,0,0,1,0,0
20,0,0,281,1,0,0,1,0,0
20,0,1,39,1,0,0,1,0,0
20,0,1,30,1,0,0,1,0,0
20,0,1,111,1,0,0,0,1,0
20,0,1,182,1,0,0,1,0,0
20,0,1,110,2,0,0,0,0,1
20,0,1,130,2,0,0,0,1,0
20,0,1,143,2,0,0,0,1,0
20,0,0,67,1,0,0,0,1,0
20,0,0,101,1,0,0,0,1,0
20,0,1,297,0,0,0,0,1,0
20,0,0,276,1,0,0,1,0,0
20,0,0,419,3,0,0,0,0,1
20,0,0,386,3,1,0,0,0,1
21,0,0,685,1,1,0,0,0,1
21,0,1,979,2,1,0,0,0,1
21,0,0,454,1,0,0,0,0,1
21,0,1,236,1,0,0,1,0,0
21,0,1,555,2,0,0,1,0,0
21,0,0,939,2,0,0,1,0,0
21,0,1,445,1,0,0,0,1,0
21,0,0,1106,2,0,0,0,1,0
21,0,1,50,2,0,0,0,1,0
21,0,1,1062,3,0,0,0,1,0
21,0,1,878,1,0,0,0,1,0
21,0,0,1236,1,0,0,0,1,0
21,0,0,713,4,0,0,0,1,0
21,0,0,91,1,1,0,0,1,0
21,0,0,1447,2,0,0,0,1,0
21,0,1,135,1,0,0,1,0,0
21,0,0,910,0,0,0,1,0,0
21,0,0,579,2,0,0,1,0,0
22,0,0,520,2,0,0,0,0,1
22,0,0,409,1,0,0,0,0,1
22,0,1,514,3,0,0,0,0,1
22,0,0,735,1,0,0,0,0,1
22,0,0,1130,3,0,0,0,1,0
22,0,0,831,4,1,0,0,0,1
22,0,1,811,4,0,0,0,1,0
22,0,1,1302,1,0,1,0,0,0
22,0,0,1098,2,1,1,0,0,0
22,0,0,960,2,1,1,0,0,0
22,0,0,1174,4,0,0,0,0,1
22,0,1,640,3,0,0,0,1,0
22,0,1,571,1,0,0,0,1,0
22,0,1,685,2,0,0,0,0,1
22,0,1,800,4,0,0,0,0,1
22,0,1,377,1,0,0,0,0,1
22,0,1,669,4,0,0,0,0,1
22,0,0,1234,2,1,0,0,0,1
22,0,1,852,4,0,0,0,1,0
22,0,1,594,2,0,0,0,1,0
